"model","years","cohort","mean_rate","median_rate","c_index","L_CI","U_CI"
"num_mm_20","4","107365","8.59449075583291","7","0.656317967639096","0.65554941314972","0.657086522128472"
"PI_cons_NB_37","4","107365","8.59449075583291","7","0.658006846379274","0.657106281166166","0.658907411592383"
"PI_cons_NB_20","4","107365","8.59449075583291","7","0.652852898711425","0.651945502851393","0.653760294571457"
"PI_gen_37","4","107365","8.59449075583291","7","0.66616178377316","0.665367510768109","0.666956056778212"
"PI_mort_37","5","105726","8.69477706524412","7.2","0.624529418351691","0.623591149236066","0.625467687467316"
"PI_mort_20","5","105726","8.69477706524412","7.2","0.62495129492766","0.624013342743038","0.625889247112282"
"PI_hosp_37","5","105726","8.69477706524412","7.2","0.643352944042153","0.642432077454737","0.644273810629568"
"PI_hosp_20","5","105726","8.69477706524412","7.2","0.643240961042864","0.642320055499312","0.644161866586416"
"num_mm_37","5","105726","8.69477706524412","7.2","0.668313871611357","0.667541815391847","0.669085927830868"
"num_mm_20","5","105726","8.69477706524412","7.2","0.657408408445171","0.656638439798421","0.65817837709192"
"PI_cons_NB_37","5","105726","8.69477706524412","7.2","0.661358807868041","0.660457137349215","0.662260478386868"
"PI_cons_NB_20","5","105726","8.69477706524412","7.2","0.656221483335803","0.65531275591547","0.657130210756135"
"PI_gen_37","5","105726","8.69477706524412","7.2","0.667134423241947","0.666338796744876","0.667930049739019"
"PI_mort_37","6","102777","8.79481304182842","7.33333333333333","0.627437881201667","0.626490689215068","0.628385073188265"
"PI_mort_20","6","102777","8.79481304182842","7.33333333333333","0.627859671509223","0.626912810081432","0.628806532937014"
"PI_hosp_37","6","102777","8.79481304182842","7.33333333333333","0.646248505504915","0.645319574372599","0.64717743663723"
"PI_hosp_20","6","102777","8.79481304182842","7.33333333333333","0.646126470508332","0.645197507017297","0.647055433999366"
"num_mm_37","6","102777","8.79481304182842","7.33333333333333","0.668896632509832","0.668117432545588","0.669675832474076"
"num_mm_20","6","102777","8.79481304182842","7.33333333333333","0.657912254142598","0.657134379742433","0.658690128542764"
"PI_cons_NB_37","6","102777","8.79481304182842","7.33333333333333","0.664134997297057","0.663225517074659","0.665044477519455"
"PI_cons_NB_20","6","102777","8.79481304182842","7.33333333333333","0.659020839952553","0.658104174263082","0.659937505642025"
"PI_gen_37","6","102777","8.79481304182842","7.33333333333333","0.667748322579401","0.666944580223724","0.668552064935077"
"PI_mort_37","7","58192","8.84083968341255","7.42857142857143","0.629407323564316","0.628151405753452","0.63066324137518"
"PI_mort_20","7","58192","8.84083968341255","7.42857142857143","0.629836629130506","0.628581214624697","0.631092043636314"
"PI_hosp_37","7","58192","8.84083968341255","7.42857142857143","0.647986135399351","0.646755694382754","0.649216576415948"
"PI_hosp_20","7","58192","8.84083968341255","7.42857142857143","0.647853447138761","0.646623343283773","0.64908355099375"
"num_mm_37","7","58192","8.84083968341255","7.42857142857143","0.667940387117188","0.666908592019692","0.668972182214683"
"num_mm_20","7","58192","8.84083968341255","7.42857142857143","0.656706399553798","0.655675316046916","0.657737483060681"
"PI_cons_NB_37","7","58192","8.84083968341255","7.42857142857143","0.665237193931897","0.664031223505103","0.666443164358691"
"PI_cons_NB_20","7","58192","8.84083968341255","7.42857142857143","0.660217870337759","0.659002710694908","0.661433029980609"
"PI_gen_37","7","58192","8.84083968341255","7.42857142857143","0.666548731776778","0.665486224492291","0.667611239061265"
"PI_mort_37","8","10137","9.08139735621979","7.625","0.632537972362085","0.629534576509723","0.635541368214446"
"PI_mort_20","8","10137","9.08139735621979","7.625","0.63296069663658","0.629958564904907","0.635962828368253"
"PI_hosp_37","8","10137","9.08139735621979","7.625","0.650351365953251","0.647409317972657","0.653293413933845"
"PI_hosp_20","8","10137","9.08139735621979","7.625","0.650318343224492","0.647380254419607","0.653256432029378"
"num_mm_37","8","10137","9.08139735621979","7.625","0.667349979861726","0.664864166315811","0.669835793407641"
"num_mm_20","8","10137","9.08139735621979","7.625","0.657525732767682","0.655042310106131","0.660009155429232"
"PI_cons_NB_37","8","10137","9.08139735621979","7.625","0.666408631033021","0.663531517182248","0.669285744883794"
"PI_cons_NB_20","8","10137","9.08139735621979","7.625","0.66170527056678","0.658809548740995","0.664600992392566"
"PI_gen_37","8","10137","9.08139735621979","7.625","0.665836103028481","0.663267361659266","0.668404844397696"
